ensembl_gene_id	symbol_type	symbol
ENSG00000000003	symbol	TSPAN6
ENSG00000000003	alias1	T245
ENSG00000000003	prev_symbol1	TM4SF6
ENSG00000000003	alias2	TSPAN-6
ENSG00000000005	symbol	TNMD
ENSG00000000005	alias1	myodulin
ENSG00000000005	alias2	ChM1L
ENSG00000000005	alias3	tendin
ENSG00000000005	alias4	TEM
ENSG00000000005	alias5	BRICD4
ENSG00000000419	symbol	DPM1
ENSG00000000419	alias1	MPDS
ENSG00000000419	alias2	CDGIE
ENSG00000000457	symbol	SCYL3
ENSG00000000457	alias1	PACE-1
ENSG00000000457	alias2	PACE1
ENSG00000000460	symbol	C1orf112
ENSG00000000460	alias1	FLJ10706
ENSG00000000938	symbol	FGR
ENSG00000000938	alias1	c-fgr
ENSG00000000938	prev_symbol1	SRC2
ENSG00000000938	alias2	p55c-fgr
ENSG00000000971	symbol	CFH
ENSG00000000971	alias1	HUS
ENSG00000000971	prev_symbol1	HF
ENSG00000000971	alias2	FHL1
ENSG00000000971	alias3	ARMS1
ENSG00000000971	alias4	ARMD4
ENSG00000000971	prev_symbol2	HF1
ENSG00000000971	prev_symbol3	HF2
ENSG00000001036	symbol	FUCA2
ENSG00000001036	alias1	MGC1314
ENSG00000001036	alias2	dJ20N2.5
ENSG00000001084	symbol	GCLC
ENSG00000001084	alias1	GCS
ENSG00000001084	prev_symbol1	GLCLC
ENSG00000001084	prev_symbol2	GLCL
ENSG00000001167	symbol	NFYA
ENSG00000001167	alias1	HAP2
ENSG00000001167	alias2	CBF-B
ENSG00000001167	alias3	NF-YA
ENSG00000001460	symbol	STPG1
ENSG00000001460	alias1	FLJ33340
ENSG00000001460	prev_symbol1	C1orf201
ENSG00000001460	alias2	MAPO2
ENSG00000001461	symbol	NIPAL3
ENSG00000001461	alias1	DJ462O23.2
ENSG00000001461	prev_symbol1	NPAL3
ENSG00000001497	symbol	LAS1L
ENSG00000001497	alias1	FLJ12525
ENSG00000001561	symbol	ENPP4
ENSG00000001561	alias1	NPP4
ENSG00000001561	alias2	KIAA0879
ENSG00000001561	alias3	AP3Aase
ENSG00000001617	symbol	SEMA3F
ENSG00000001617	alias1	SEMAK
ENSG00000001617	alias2	Sema4
ENSG00000001626	symbol	CFTR
ENSG00000001626	alias1	MRP7
ENSG00000001626	prev_symbol1	CF
ENSG00000001626	alias2	ABC35
ENSG00000001626	alias3	TNR-CFTR
ENSG00000001626	alias4	dJ760C5.1
ENSG00000001626	alias5	CFTR/MRP
ENSG00000001626	prev_symbol2	ABCC7
ENSG00000001629	symbol	ANKIB1
ENSG00000001629	alias1	DKFZP434A0225
ENSG00000001629	alias2	KIAA1386
ENSG00000001630	symbol	CYP51A1
ENSG00000001630	alias1	CP51
ENSG00000001630	prev_symbol1	CYP51
ENSG00000001630	alias2	CYPL1
ENSG00000001630	alias3	P450L1
ENSG00000001630	alias4	LDM
ENSG00000001630	alias5	P450-14DM
ENSG00000001631	symbol	KRIT1
ENSG00000001631	alias1	CAM
ENSG00000001631	prev_symbol1	CCM1
ENSG00000002016	symbol	RAD52
ENSG00000002079	symbol	MYH16
ENSG00000002079	alias1	MHC20
ENSG00000002079	prev_symbol1	MYH5
ENSG00000002079	alias2	MYH16P
ENSG00000002330	symbol	BAD
ENSG00000002330	alias1	BCL2L8
ENSG00000002330	alias2	BBC2
ENSG00000002549	symbol	LAP3
ENSG00000002549	alias1	LAPEP
ENSG00000002549	prev_symbol1	PEPS
ENSG00000002549	alias2	LAP
ENSG00000002586	symbol	CD99
ENSG00000002586	prev_symbol1	MIC2
ENSG00000002587	symbol	HS3ST1
ENSG00000002587	alias1	3OST1
ENSG00000002726	symbol	AOC1
ENSG00000002726	alias1	DAO
ENSG00000002726	prev_symbol1	ABP1
ENSG00000002745	symbol	WNT16
ENSG00000002746	symbol	HECW1
ENSG00000002746	alias1	KIAA0322
ENSG00000002746	alias2	NEDL1
ENSG00000002822	symbol	MAD1L1
ENSG00000002822	alias1	HsMAD1
ENSG00000002822	alias2	TXBP181
ENSG00000002822	alias3	MAD1
ENSG00000002822	alias4	PIG9
ENSG00000002822	alias5	TP53I9
ENSG00000002834	symbol	LASP1
ENSG00000002834	alias1	MLN50
ENSG00000002834	alias2	Lasp-1
ENSG00000002919	symbol	SNX11
ENSG00000002933	symbol	TMEM176A
ENSG00000002933	alias1	HCA112
ENSG00000002933	alias2	MS4B1
ENSG00000003056	symbol	M6PR
ENSG00000003056	alias1	CD-MPR
ENSG00000003056	alias2	CD-M6PR
ENSG00000003096	symbol	KLHL13
ENSG00000003096	alias1	FLJ10262
ENSG00000003096	prev_symbol1	BKLHD2
ENSG00000003096	prev_symbol2	KIAA1309
ENSG00000003137	symbol	CYP26B1
ENSG00000003137	alias1	P450RAI-2
ENSG00000003147	symbol	ICA1
ENSG00000003147	alias1	ICAp69
ENSG00000003147	alias2	ICA69
ENSG00000003249	symbol	DBNDD1
ENSG00000003249	alias1	MGC3101
ENSG00000003249	alias2	FLJ12582
ENSG00000003393	symbol	ALS2
ENSG00000003393	prev_symbol1	ALS2CR6
ENSG00000003400	symbol	CASP10
ENSG00000003400	alias1	MCH4
ENSG00000003402	symbol	CFLAR
ENSG00000003402	alias1	CASH
ENSG00000003402	prev_symbol1	CASP8AP1
ENSG00000003402	alias2	Casper
ENSG00000003402	alias3	CLARP
ENSG00000003402	alias4	FLAME
ENSG00000003402	alias5	FLIP
ENSG00000003402	alias6	I-FLICE
ENSG00000003402	alias7	MRIT
ENSG00000003402	alias8	c-FLIP
ENSG00000003436	symbol	TFPI
ENSG00000003436	alias1	EPI
ENSG00000003436	prev_symbol1	LACI
ENSG00000003436	alias2	TFI
ENSG00000003436	alias3	TFPI1
ENSG00000003509	symbol	NDUFAF7
ENSG00000003509	alias1	PRO1853
ENSG00000003509	prev_symbol1	C2orf56
ENSG00000003509	alias2	MidA
ENSG00000003756	symbol	RBM5
ENSG00000003756	alias1	LUCA15
ENSG00000003756	alias2	H37
ENSG00000003987	symbol	MTMR7
ENSG00000003989	symbol	SLC7A2
ENSG00000003989	alias1	CAT-2
ENSG00000003989	prev_symbol1	ATRC2
ENSG00000003989	alias2	HCAT2
ENSG00000004059	symbol	ARF5
ENSG00000004139	symbol	SARM1
ENSG00000004139	alias1	SARM
ENSG00000004139	alias2	SAMD2
ENSG00000004139	alias3	KIAA0524
ENSG00000004142	symbol	POLDIP2
ENSG00000004142	alias1	PDIP38
ENSG00000004142	alias2	DKFZP586F1524
ENSG00000004399	symbol	PLXND1
ENSG00000004399	alias1	KIAA0620
ENSG00000004455	symbol	AK2
ENSG00000004468	symbol	CD38
ENSG00000004478	symbol	FKBP4
ENSG00000004478	alias1	FKBP59
ENSG00000004478	alias2	FKBP52
ENSG00000004487	symbol	KDM1A
ENSG00000004487	alias1	KIAA0601
ENSG00000004487	prev_symbol1	AOF2
ENSG00000004487	alias2	BHC110
ENSG00000004487	alias3	LSD1
ENSG00000004487	prev_symbol2	KDM1
ENSG00000004534	symbol	RBM6
ENSG00000004534	alias1	DEF-3
ENSG00000004534	alias2	3G2
ENSG00000004534	alias3	NY-LU-12
ENSG00000004534	alias4	g16
ENSG00000004534	alias5	DEF3
ENSG00000004660	symbol	CAMKK1
ENSG00000004660	alias1	DKFZp761M0423
ENSG00000004660	alias2	CAMKKA
ENSG00000004660	alias3	MGC34095
ENSG00000004700	symbol	RECQL
ENSG00000004700	alias1	RecQ1
